PV Name,Value Written,Value Read,Time,Delta
process_data_read684:temperature,1368,1368.0,1626111469535,0.0
process_data_read684:temperature,1369,1368.0,1626111469535,0.0
process_data_read684:temperature,1370,1368.0,1626111469535,0.0
process_data_read684:temperature,1371,1368.0,1626111469535,0.0
process_data_read684:temperature,1372,1368.0,1626111469535,0.0
process_data_read684:temperature,1373,1368.0,1626111469535,0.0
process_data_read684:temperature,1374,1368.0,1626111469535,0.0
process_data_read684:temperature,1375,1368.0,1626111469535,0.0
process_data_read684:temperature,1376,1368.0,1626111469535,0.0
process_data_read684:temperature,1377,1374.0,1626111470223,688.0
process_data_read684:temperature,1378,1374.0,1626111470223,0.0
process_data_read684:temperature,1379,1376.0,1626111470286,63.0
process_data_read684:temperature,1380,1380.0,1626111470382,96.0
process_data_read684:temperature,1381,1381.0,1626111470408,26.0
process_data_read684:temperature,1382,1382.0,1626111470432,24.0
process_data_read684:temperature,1383,1383.0,1626111470457,25.0
process_data_read684:temperature,1384,1384.0,1626111470479,22.0
process_data_read684:temperature,1385,1385.0,1626111470499,20.0
process_data_read684:temperature,1386,1386.0,1626111470520,21.0
process_data_read684:temperature,1387,1387.0,1626111470541,21.0
