PV Name,Value Written,Value Read,Time,Delta
process_data_read876:temperature,1752,1752.0,1626165327753,0.0
process_data_read876:temperature,1753,1752.0,1626165327753,0.0
process_data_read876:temperature,1754,1752.0,1626165327753,0.0
process_data_read876:temperature,1755,1752.0,1626165327753,0.0
process_data_read876:temperature,1756,1752.0,1626165327753,0.0
process_data_read876:temperature,1757,1752.0,1626165327753,0.0
process_data_read876:temperature,1758,1752.0,1626165327753,0.0
process_data_read876:temperature,1759,1752.0,1626165327753,0.0
process_data_read876:temperature,1760,1752.0,1626165327753,0.0
process_data_read876:temperature,1761,1755.0,1626165328496,743.0
process_data_read876:temperature,1762,1757.0,1626165328539,43.0
process_data_read876:temperature,1763,1761.0,1626165328624,85.0
process_data_read876:temperature,1764,1761.0,1626165328624,0.0
process_data_read876:temperature,1765,1765.0,1626165328710,86.0
process_data_read876:temperature,1766,1766.0,1626165328734,24.0
process_data_read876:temperature,1767,1767.0,1626165328763,29.0
process_data_read876:temperature,1768,1768.0,1626165328793,30.0
process_data_read876:temperature,1769,1769.0,1626165328818,25.0
process_data_read876:temperature,1770,1770.0,1626165328838,20.0
process_data_read876:temperature,1771,1771.0,1626165328859,21.0
process_data_read876:temperature,1772,1772.0,1626165328882,23.0
process_data_read876:temperature,1773,1773.0,1626165328902,20.0
process_data_read876:temperature,1774,1774.0,1626165328924,22.0
process_data_read876:temperature,1775,1775.0,1626165328950,26.0
process_data_read876:temperature,1776,1776.0,1626165328973,23.0
process_data_read876:temperature,1777,1777.0,1626165328994,21.0
process_data_read876:temperature,1778,1778.0,1626165329014,20.0
process_data_read876:temperature,1779,1779.0,1626165329035,21.0
process_data_read876:temperature,1780,1780.0,1626165329058,23.0
process_data_read876:temperature,1781,1781.0,1626165329079,21.0
