PV Name,Value Written,Value Read,Time,Delta
process_data_read291:temperature,582,582.0,1626165314459,0.0
process_data_read291:temperature,583,582.0,1626165314459,0.0
process_data_read291:temperature,584,582.0,1626165314459,0.0
process_data_read291:temperature,585,582.0,1626165314459,0.0
process_data_read291:temperature,586,582.0,1626165314459,0.0
process_data_read291:temperature,587,582.0,1626165314459,0.0
process_data_read291:temperature,588,584.0,1626165315070,611.0
process_data_read291:temperature,589,586.0,1626165315115,45.0
process_data_read291:temperature,590,589.0,1626165315180,65.0
process_data_read291:temperature,591,590.0,1626165315204,24.0
process_data_read291:temperature,592,592.0,1626165315265,61.0
process_data_read291:temperature,593,593.0,1626165315285,20.0
process_data_read291:temperature,594,594.0,1626165315308,23.0
process_data_read291:temperature,595,595.0,1626165315329,21.0
process_data_read291:temperature,596,596.0,1626165315352,23.0
process_data_read291:temperature,597,597.0,1626165315373,21.0
process_data_read291:temperature,598,598.0,1626165315396,23.0
process_data_read291:temperature,599,599.0,1626165315416,20.0
process_data_read291:temperature,600,600.0,1626165315442,26.0
process_data_read291:temperature,601,601.0,1626165315466,24.0
process_data_read291:temperature,602,602.0,1626165315488,22.0
process_data_read291:temperature,603,603.0,1626165315509,21.0
process_data_read291:temperature,604,604.0,1626165315529,20.0
process_data_read291:temperature,605,605.0,1626165315549,20.0
process_data_read291:temperature,606,606.0,1626165315570,21.0
process_data_read291:temperature,607,607.0,1626165315592,22.0
process_data_read291:temperature,608,608.0,1626165315613,21.0
process_data_read291:temperature,609,609.0,1626165315633,20.0
process_data_read291:temperature,610,610.0,1626165315653,20.0
process_data_read291:temperature,611,611.0,1626165315674,21.0
