PV Name,Value Written,Value Read,Time,Delta
process_data_read136:temperature,272,272.0,1626165311660,0.0
process_data_read136:temperature,273,272.0,1626165311660,0.0
process_data_read136:temperature,274,272.0,1626165311660,0.0
process_data_read136:temperature,275,272.0,1626165311660,0.0
process_data_read136:temperature,276,272.0,1626165311660,0.0
process_data_read136:temperature,277,272.0,1626165311660,0.0
process_data_read136:temperature,278,272.0,1626165311660,0.0
process_data_read136:temperature,279,272.0,1626165311660,0.0
process_data_read136:temperature,280,272.0,1626165311660,0.0
process_data_read136:temperature,281,272.0,1626165311660,0.0
process_data_read136:temperature,282,272.0,1626165311660,0.0
process_data_read136:temperature,283,272.0,1626165311660,0.0
process_data_read136:temperature,284,272.0,1626165311660,0.0
process_data_read136:temperature,285,272.0,1626165311660,0.0
process_data_read136:temperature,286,272.0,1626165311660,0.0
process_data_read136:temperature,287,272.0,1626165311660,0.0
process_data_read136:temperature,288,272.0,1626165311660,0.0
process_data_read136:temperature,289,273.0,1626165312300,640.0
process_data_read136:temperature,290,277.0,1626165312387,87.0
process_data_read136:temperature,291,281.0,1626165312482,95.0
process_data_read136:temperature,292,284.0,1626165312567,85.0
process_data_read136:temperature,293,287.0,1626165312638,71.0
process_data_read136:temperature,294,290.0,1626165312704,66.0
process_data_read136:temperature,295,294.0,1626165312795,91.0
process_data_read136:temperature,296,296.0,1626165312841,46.0
process_data_read136:temperature,297,297.0,1626165312862,21.0
process_data_read136:temperature,298,298.0,1626165312882,20.0
process_data_read136:temperature,299,299.0,1626165312902,20.0
process_data_read136:temperature,300,300.0,1626165312923,21.0
process_data_read136:temperature,301,301.0,1626165312944,21.0
