PV Name,Value Written,Value Read,Time,Delta
process_data_read1698:temperature,3396,3396.0,1626165041658,0.0
process_data_read1698:temperature,3397,3397.0,1626165041934,276.0
process_data_read1698:temperature,3398,3398.0,1626165041985,51.0
process_data_read1698:temperature,3399,3399.0,1626165042035,50.0
process_data_read1698:temperature,3400,3400.0,1626165042085,50.0
process_data_read1698:temperature,3401,3401.0,1626165042135,50.0
process_data_read1698:temperature,3402,3402.0,1626165042186,51.0
process_data_read1698:temperature,3403,3403.0,1626165042240,54.0
process_data_read1698:temperature,3404,3404.0,1626165042291,51.0
process_data_read1698:temperature,3405,3405.0,1626165042347,56.0
process_data_read1698:temperature,3406,3406.0,1626165042399,52.0
process_data_read1698:temperature,3407,3407.0,1626165042450,51.0
process_data_read1698:temperature,3408,3408.0,1626165042502,52.0
process_data_read1698:temperature,3409,3409.0,1626165042558,56.0
process_data_read1698:temperature,3410,3410.0,1626165042608,50.0
process_data_read1698:temperature,3411,3411.0,1626165042659,51.0
process_data_read1698:temperature,3412,3412.0,1626165042724,65.0
process_data_read1698:temperature,3413,3413.0,1626165042779,55.0
process_data_read1698:temperature,3414,3414.0,1626165042838,59.0
process_data_read1698:temperature,3415,3415.0,1626165042914,76.0
