PV Name,Value Written,Value Read,Time,Delta
process_data_read792:temperature,1584,1584.0,1626165425822,0.0
process_data_read792:temperature,1585,1584.0,1626165425822,0.0
process_data_read792:temperature,1586,1584.0,1626165425822,0.0
process_data_read792:temperature,1587,1584.0,1626165425822,0.0
process_data_read792:temperature,1588,1584.0,1626165425822,0.0
process_data_read792:temperature,1589,1585.0,1626165426452,630.0
process_data_read792:temperature,1590,1586.0,1626165426473,21.0
process_data_read792:temperature,1591,1588.0,1626165426518,45.0
process_data_read792:temperature,1592,1592.0,1626165426608,90.0
process_data_read792:temperature,1593,1593.0,1626165426635,27.0
process_data_read792:temperature,1594,1594.0,1626165426659,24.0
process_data_read792:temperature,1595,1595.0,1626165426681,22.0
process_data_read792:temperature,1596,1596.0,1626165426702,21.0
process_data_read792:temperature,1597,1597.0,1626165426727,25.0
process_data_read792:temperature,1598,1598.0,1626165426750,23.0
process_data_read792:temperature,1599,1599.0,1626165426771,21.0
process_data_read792:temperature,1600,1600.0,1626165426792,21.0
process_data_read792:temperature,1601,1601.0,1626165426813,21.0
process_data_read792:temperature,1602,1602.0,1626165426833,20.0
process_data_read792:temperature,1603,1603.0,1626165426856,23.0
process_data_read792:temperature,1604,1604.0,1626165426877,21.0
process_data_read792:temperature,1605,1605.0,1626165426898,21.0
process_data_read792:temperature,1606,1606.0,1626165426918,20.0
process_data_read792:temperature,1607,1607.0,1626165426939,21.0
process_data_read792:temperature,1608,1608.0,1626165426961,22.0
process_data_read792:temperature,1609,1609.0,1626165426985,24.0
process_data_read792:temperature,1610,1610.0,1626165427006,21.0
process_data_read792:temperature,1611,1611.0,1626165427034,28.0
process_data_read792:temperature,1612,1612.0,1626165427064,30.0
process_data_read792:temperature,1613,1613.0,1626165427090,26.0
