PV Name,Value Written,Value Read,Time,Delta
process_data_read1200:temperature,2400,2400.0,1626165434876,0.0
process_data_read1200:temperature,2401,2400.0,1626165434876,0.0
process_data_read1200:temperature,2402,2400.0,1626165434876,0.0
process_data_read1200:temperature,2403,2400.0,1626165434876,0.0
process_data_read1200:temperature,2404,2400.0,1626165434876,0.0
process_data_read1200:temperature,2405,2400.0,1626165434876,0.0
process_data_read1200:temperature,2406,2401.0,1626165435297,421.0
process_data_read1200:temperature,2407,2404.0,1626165435358,61.0
process_data_read1200:temperature,2408,2407.0,1626165435422,64.0
process_data_read1200:temperature,2409,2409.0,1626165435464,42.0
process_data_read1200:temperature,2410,2410.0,1626165435484,20.0
process_data_read1200:temperature,2411,2411.0,1626165435504,20.0
process_data_read1200:temperature,2412,2412.0,1626165435528,24.0
process_data_read1200:temperature,2413,2413.0,1626165435549,21.0
process_data_read1200:temperature,2414,2414.0,1626165435575,26.0
process_data_read1200:temperature,2415,2415.0,1626165435599,24.0
process_data_read1200:temperature,2416,2416.0,1626165435624,25.0
process_data_read1200:temperature,2417,2417.0,1626165435652,28.0
process_data_read1200:temperature,2418,2418.0,1626165435686,34.0
process_data_read1200:temperature,2419,2419.0,1626165435710,24.0
process_data_read1200:temperature,2420,2420.0,1626165435733,23.0
process_data_read1200:temperature,2421,2421.0,1626165435759,26.0
process_data_read1200:temperature,2422,2422.0,1626165435780,21.0
process_data_read1200:temperature,2423,2423.0,1626165435809,29.0
process_data_read1200:temperature,2424,2424.0,1626165435830,21.0
process_data_read1200:temperature,2425,2425.0,1626165435850,20.0
process_data_read1200:temperature,2426,2426.0,1626165435873,23.0
process_data_read1200:temperature,2427,2427.0,1626165435895,22.0
process_data_read1200:temperature,2428,2428.0,1626165435917,22.0
process_data_read1200:temperature,2429,2429.0,1626165435938,21.0
