PV Name,Value Written,Value Read,Time,Delta
process_data_read34:temperature,68,68.0,1626165226142,0.0
process_data_read34:temperature,69,68.0,1626165226142,0.0
process_data_read34:temperature,70,68.0,1626165226142,0.0
process_data_read34:temperature,71,68.0,1626165226142,0.0
process_data_read34:temperature,72,68.0,1626165226142,0.0
process_data_read34:temperature,73,68.0,1626165226142,0.0
process_data_read34:temperature,74,68.0,1626165226142,0.0
process_data_read34:temperature,75,68.0,1626165226142,0.0
process_data_read34:temperature,76,68.0,1626165226142,0.0
process_data_read34:temperature,77,68.0,1626165226142,0.0
process_data_read34:temperature,78,68.0,1626165226142,0.0
process_data_read34:temperature,79,68.0,1626165226142,0.0
process_data_read34:temperature,80,68.0,1626165226142,0.0
process_data_read34:temperature,81,68.0,1626165226142,0.0
process_data_read34:temperature,82,68.0,1626165226142,0.0
process_data_read34:temperature,83,68.0,1626165226142,0.0
process_data_read34:temperature,84,68.0,1626165226142,0.0
process_data_read34:temperature,85,68.0,1626165226142,0.0
process_data_read34:temperature,86,68.0,1626165226142,0.0
process_data_read34:temperature,87,68.0,1626165226142,0.0
process_data_read34:temperature,88,68.0,1626165226142,0.0
process_data_read34:temperature,89,69.0,1626165226797,655.0
process_data_read34:temperature,90,70.0,1626165226821,24.0
process_data_read34:temperature,91,75.0,1626165226936,115.0
process_data_read34:temperature,92,80.0,1626165227062,126.0
process_data_read34:temperature,93,84.0,1626165227150,88.0
process_data_read34:temperature,94,87.0,1626165227223,73.0
process_data_read34:temperature,95,90.0,1626165227289,66.0
process_data_read34:temperature,96,94.0,1626165227377,88.0
process_data_read34:temperature,97,96.0,1626165227420,43.0
