PV Name,Value Written,Value Read,Time,Delta
process_data_read1709:temperature,3418,3418.0,1626110332773,0.0
process_data_read1709:temperature,3419,3418.0,1626110332773,0.0
process_data_read1709:temperature,3420,3418.0,1626110332773,0.0
process_data_read1709:temperature,3421,3418.0,1626110332773,0.0
process_data_read1709:temperature,3422,3418.0,1626110332773,0.0
process_data_read1709:temperature,3423,3418.0,1626110332773,0.0
process_data_read1709:temperature,3424,3418.0,1626110332773,0.0
process_data_read1709:temperature,3425,3418.0,1626110332773,0.0
process_data_read1709:temperature,3426,3418.0,1626110332773,0.0
process_data_read1709:temperature,3427,3418.0,1626110332773,0.0
process_data_read1709:temperature,3428,3421.0,1626110333358,585.0
process_data_read1709:temperature,3429,3424.0,1626110333547,189.0
process_data_read1709:temperature,3430,3430.0,1626110333860,313.0
process_data_read1709:temperature,3431,3431.0,1626110333911,51.0
process_data_read1709:temperature,3432,3432.0,1626110333961,50.0
process_data_read1709:temperature,3433,3433.0,1626110334012,51.0
process_data_read1709:temperature,3434,3434.0,1626110334063,51.0
process_data_read1709:temperature,3435,3435.0,1626110334113,50.0
process_data_read1709:temperature,3436,3436.0,1626110334164,51.0
process_data_read1709:temperature,3437,3437.0,1626110334214,50.0
