PV Name,Value Written,Value Read,Time,Delta
process_data_read1184:temperature,2368,2368.0,1626110320146,0.0
process_data_read1184:temperature,2369,2369.0,1626110320500,354.0
process_data_read1184:temperature,2370,2370.0,1626110320551,51.0
process_data_read1184:temperature,2371,2371.0,1626110320601,50.0
process_data_read1184:temperature,2372,2372.0,1626110320652,51.0
process_data_read1184:temperature,2373,2373.0,1626110320702,50.0
process_data_read1184:temperature,2374,2374.0,1626110320752,50.0
process_data_read1184:temperature,2375,2375.0,1626110320803,51.0
process_data_read1184:temperature,2376,2376.0,1626110320853,50.0
process_data_read1184:temperature,2377,2377.0,1626110320903,50.0
process_data_read1184:temperature,2378,2378.0,1626110320953,50.0
process_data_read1184:temperature,2379,2379.0,1626110321008,55.0
process_data_read1184:temperature,2380,2380.0,1626110321064,56.0
process_data_read1184:temperature,2381,2381.0,1626110321114,50.0
process_data_read1184:temperature,2382,2382.0,1626110321164,50.0
process_data_read1184:temperature,2383,2383.0,1626110321215,51.0
process_data_read1184:temperature,2384,2384.0,1626110321269,54.0
process_data_read1184:temperature,2385,2385.0,1626110321320,51.0
process_data_read1184:temperature,2386,2386.0,1626110321376,56.0
process_data_read1184:temperature,2387,2387.0,1626110321434,58.0
