PV Name,Value Written,Value Read,Time,Delta
process_data_read146:temperature,292,292.0,1626109934693,0.0
process_data_read146:temperature,293,292.0,1626109934693,0.0
process_data_read146:temperature,294,292.0,1626109934693,0.0
process_data_read146:temperature,295,292.0,1626109934693,0.0
process_data_read146:temperature,296,292.0,1626109934693,0.0
process_data_read146:temperature,297,297.0,1626109935506,813.0
process_data_read146:temperature,298,298.0,1626109935556,50.0
process_data_read146:temperature,299,299.0,1626109935607,51.0
process_data_read146:temperature,300,300.0,1626109935657,50.0
process_data_read146:temperature,301,301.0,1626109935708,51.0
process_data_read146:temperature,302,302.0,1626109935758,50.0
process_data_read146:temperature,303,303.0,1626109935808,50.0
process_data_read146:temperature,304,304.0,1626109935859,51.0
process_data_read146:temperature,305,305.0,1626109935909,50.0
process_data_read146:temperature,306,306.0,1626109935960,51.0
process_data_read146:temperature,307,307.0,1626109936014,54.0
process_data_read146:temperature,308,308.0,1626109936069,55.0
process_data_read146:temperature,309,309.0,1626109936130,61.0
process_data_read146:temperature,310,310.0,1626109936186,56.0
process_data_read146:temperature,311,311.0,1626109936243,57.0
