PV Name,Value Written,Value Read,Time,Delta
process_data_read390:temperature,780,780.0,1626164928572,0.0
process_data_read390:temperature,781,781.0,1626164928976,404.0
process_data_read390:temperature,782,782.0,1626164929027,51.0
process_data_read390:temperature,783,783.0,1626164929077,50.0
process_data_read390:temperature,784,784.0,1626164929127,50.0
process_data_read390:temperature,785,785.0,1626164929178,51.0
process_data_read390:temperature,786,786.0,1626164929228,50.0
process_data_read390:temperature,787,787.0,1626164929278,50.0
process_data_read390:temperature,788,788.0,1626164929329,51.0
process_data_read390:temperature,789,789.0,1626164929379,50.0
process_data_read390:temperature,790,790.0,1626164929429,50.0
process_data_read390:temperature,791,791.0,1626164929480,51.0
process_data_read390:temperature,792,792.0,1626164929530,50.0
process_data_read390:temperature,793,793.0,1626164929580,50.0
process_data_read390:temperature,794,794.0,1626164929631,51.0
process_data_read390:temperature,795,795.0,1626164929683,52.0
process_data_read390:temperature,796,796.0,1626164929736,53.0
process_data_read390:temperature,797,797.0,1626164929788,52.0
process_data_read390:temperature,798,798.0,1626164929841,53.0
process_data_read390:temperature,799,799.0,1626164929899,58.0
