PV Name,Value Written,Value Read,Time,Delta
process_data_read370:temperature,740,740.0,1626164928375,0.0
process_data_read370:temperature,741,740.0,1626164928375,0.0
process_data_read370:temperature,742,740.0,1626164928375,0.0
process_data_read370:temperature,743,743.0,1626164928996,621.0
process_data_read370:temperature,744,744.0,1626164929047,51.0
process_data_read370:temperature,745,745.0,1626164929097,50.0
process_data_read370:temperature,746,746.0,1626164929147,50.0
process_data_read370:temperature,747,747.0,1626164929198,51.0
process_data_read370:temperature,748,748.0,1626164929248,50.0
process_data_read370:temperature,749,749.0,1626164929298,50.0
process_data_read370:temperature,750,750.0,1626164929348,50.0
process_data_read370:temperature,751,751.0,1626164929398,50.0
process_data_read370:temperature,752,752.0,1626164929449,51.0
process_data_read370:temperature,753,753.0,1626164929499,50.0
process_data_read370:temperature,754,754.0,1626164929550,51.0
process_data_read370:temperature,755,755.0,1626164929601,51.0
process_data_read370:temperature,756,756.0,1626164929651,50.0
process_data_read370:temperature,757,757.0,1626164929702,51.0
process_data_read370:temperature,758,758.0,1626164929753,51.0
process_data_read370:temperature,759,759.0,1626164929803,50.0
