PV Name,Value Written,Value Read,Time,Delta
process_data_read613:temperature,1226,1226.0,1626110773356,0.0
process_data_read613:temperature,1227,1226.0,1626110773356,0.0
process_data_read613:temperature,1228,1226.0,1626110773356,0.0
process_data_read613:temperature,1229,1226.0,1626110773356,0.0
process_data_read613:temperature,1230,1226.0,1626110773356,0.0
process_data_read613:temperature,1231,1226.0,1626110773356,0.0
process_data_read613:temperature,1232,1226.0,1626110773356,0.0
process_data_read613:temperature,1233,1226.0,1626110773356,0.0
process_data_read613:temperature,1234,1228.0,1626110774005,649.0
process_data_read613:temperature,1235,1232.0,1626110774220,215.0
process_data_read613:temperature,1236,1236.0,1626110774432,212.0
process_data_read613:temperature,1237,1237.0,1626110774482,50.0
process_data_read613:temperature,1238,1238.0,1626110774532,50.0
process_data_read613:temperature,1239,1239.0,1626110774583,51.0
process_data_read613:temperature,1240,1240.0,1626110774633,50.0
process_data_read613:temperature,1241,1241.0,1626110774683,50.0
process_data_read613:temperature,1242,1242.0,1626110774734,51.0
process_data_read613:temperature,1243,1243.0,1626110774785,51.0
process_data_read613:temperature,1244,1244.0,1626110774834,49.0
process_data_read613:temperature,1245,1245.0,1626110774892,58.0
