PV Name,Value Written,Value Read,Time,Delta
process_data_read157:temperature,314,314.0,1626164424996,0.0
process_data_read157:temperature,315,315.0,1626164425533,537.0
process_data_read157:temperature,316,316.0,1626164425634,101.0
process_data_read157:temperature,317,317.0,1626164425734,100.0
process_data_read157:temperature,318,318.0,1626164425834,100.0
process_data_read157:temperature,319,319.0,1626164425934,100.0
process_data_read157:temperature,320,320.0,1626164426035,101.0
process_data_read157:temperature,321,321.0,1626164426135,100.0
process_data_read157:temperature,322,322.0,1626164426235,100.0
process_data_read157:temperature,323,323.0,1626164426336,101.0
