PV Name,Value Written,Value Read,Time,Delta
process_data_read18:temperature,36,36.0,1626111101707,0.0
process_data_read18:temperature,37,36.0,1626111101707,0.0
process_data_read18:temperature,38,36.0,1626111101707,0.0
process_data_read18:temperature,39,36.0,1626111101707,0.0
process_data_read18:temperature,40,36.0,1626111101707,0.0
process_data_read18:temperature,41,36.0,1626111101707,0.0
process_data_read18:temperature,42,36.0,1626111101707,0.0
process_data_read18:temperature,43,36.0,1626111101707,0.0
process_data_read18:temperature,44,36.0,1626111101707,0.0
process_data_read18:temperature,45,36.0,1626111101707,0.0
process_data_read18:temperature,46,36.0,1626111101707,0.0
process_data_read18:temperature,47,36.0,1626111101707,0.0
process_data_read18:temperature,48,36.0,1626111101707,0.0
process_data_read18:temperature,49,36.0,1626111101707,0.0
process_data_read18:temperature,50,36.0,1626111101707,0.0
process_data_read18:temperature,51,36.0,1626111101707,0.0
process_data_read18:temperature,52,36.0,1626111101707,0.0
process_data_read18:temperature,53,36.0,1626111101707,0.0
process_data_read18:temperature,54,36.0,1626111101707,0.0
process_data_read18:temperature,55,36.0,1626111101707,0.0
process_data_read18:temperature,56,36.0,1626111101707,0.0
process_data_read18:temperature,57,36.0,1626111101707,0.0
process_data_read18:temperature,58,36.0,1626111101707,0.0
process_data_read18:temperature,59,36.0,1626111101707,0.0
process_data_read18:temperature,60,36.0,1626111101707,0.0
process_data_read18:temperature,61,36.0,1626111101707,0.0
process_data_read18:temperature,62,36.0,1626111101707,0.0
process_data_read18:temperature,63,36.0,1626111101707,0.0
process_data_read18:temperature,64,37.0,1626111102398,691.0
process_data_read18:temperature,65,39.0,1626111102444,46.0
process_data_read18:temperature,66,40.0,1626111102467,23.0
process_data_read18:temperature,67,41.0,1626111102497,30.0
process_data_read18:temperature,68,42.0,1626111102520,23.0
process_data_read18:temperature,69,44.0,1626111102566,46.0
process_data_read18:temperature,70,45.0,1626111102587,21.0
process_data_read18:temperature,71,47.0,1626111102637,50.0
process_data_read18:temperature,72,48.0,1626111102658,21.0
process_data_read18:temperature,73,51.0,1626111102730,72.0
process_data_read18:temperature,74,52.0,1626111102751,21.0
process_data_read18:temperature,75,55.0,1626111102818,67.0
process_data_read18:temperature,76,58.0,1626111102884,66.0
process_data_read18:temperature,77,59.0,1626111102906,22.0
process_data_read18:temperature,78,61.0,1626111102953,47.0
process_data_read18:temperature,79,64.0,1626111103021,68.0
process_data_read18:temperature,80,66.0,1626111103067,46.0
process_data_read18:temperature,81,67.0,1626111103089,22.0
process_data_read18:temperature,82,69.0,1626111103136,47.0
process_data_read18:temperature,83,71.0,1626111103178,42.0
process_data_read18:temperature,84,73.0,1626111103231,53.0
process_data_read18:temperature,85,74.0,1626111103255,24.0
