PV Name,Value Written,Value Read,Time,Delta
process_data_read303:temperature,606,606.0,1626109253821,0.0
process_data_read303:temperature,607,606.0,1626109253821,0.0
process_data_read303:temperature,608,606.0,1626109253821,0.0
process_data_read303:temperature,609,607.0,1626109253913,92.0
process_data_read303:temperature,610,607.0,1626109253913,0.0
process_data_read303:temperature,611,608.0,1626109254016,103.0
process_data_read303:temperature,612,609.0,1626109254120,104.0
process_data_read303:temperature,613,613.0,1626109254551,431.0
process_data_read303:temperature,614,614.0,1626109254653,102.0
process_data_read303:temperature,615,615.0,1626109254754,101.0
