PV Name,Value Written,Value Read,Time,Delta
process_data_read232:temperature,464,464.0,1626109251819,0.0
process_data_read232:temperature,465,464.0,1626109251819,0.0
process_data_read232:temperature,466,466.0,1626109252764,945.0
process_data_read232:temperature,467,467.0,1626109252864,100.0
process_data_read232:temperature,468,468.0,1626109252965,101.0
process_data_read232:temperature,469,469.0,1626109253065,100.0
process_data_read232:temperature,470,470.0,1626109253166,101.0
process_data_read232:temperature,471,471.0,1626109253266,100.0
process_data_read232:temperature,472,472.0,1626109253367,101.0
process_data_read232:temperature,473,473.0,1626109253467,100.0
