PV Name,Value Written,Value Read,Time,Delta
process_data_read1957:temperature,3914,3914.0,1626109289417,0.0
process_data_read1957:temperature,3915,3915.0,1626109289989,572.0
process_data_read1957:temperature,3916,3916.0,1626109290091,102.0
process_data_read1957:temperature,3917,3917.0,1626109290191,100.0
process_data_read1957:temperature,3918,3918.0,1626109290292,101.0
process_data_read1957:temperature,3919,3919.0,1626109290392,100.0
process_data_read1957:temperature,3920,3920.0,1626109290493,101.0
process_data_read1957:temperature,3921,3921.0,1626109290594,101.0
process_data_read1957:temperature,3922,3922.0,1626109290694,100.0
process_data_read1957:temperature,3923,3923.0,1626109290794,100.0
