PV Name,Value Written,Value Read,Time,Delta
process_data_read77:temperature,154,154.0,1626109247925,0.0
process_data_read77:temperature,155,155.0,1626109248306,381.0
process_data_read77:temperature,156,156.0,1626109248408,102.0
process_data_read77:temperature,157,157.0,1626109248508,100.0
process_data_read77:temperature,158,158.0,1626109248609,101.0
process_data_read77:temperature,159,159.0,1626109248709,100.0
process_data_read77:temperature,160,160.0,1626109248809,100.0
process_data_read77:temperature,161,161.0,1626109248910,101.0
process_data_read77:temperature,162,162.0,1626109249014,104.0
process_data_read77:temperature,163,163.0,1626109249118,104.0
