PV Name,Value Written,Value Read,Time,Delta
process_data_read967:temperature,1934,1934.0,1626109267546,0.0
process_data_read967:temperature,1935,1935.0,1626109267996,450.0
process_data_read967:temperature,1936,1936.0,1626109268096,100.0
process_data_read967:temperature,1937,1937.0,1626109268197,101.0
process_data_read967:temperature,1938,1938.0,1626109268297,100.0
process_data_read967:temperature,1939,1939.0,1626109268397,100.0
process_data_read967:temperature,1940,1940.0,1626109268498,101.0
process_data_read967:temperature,1941,1941.0,1626109268598,100.0
process_data_read967:temperature,1942,1942.0,1626109268698,100.0
process_data_read967:temperature,1943,1943.0,1626109268810,112.0
