PV Name,Value Written,Value Read,Time,Delta
process_data_read1374:temperature,2748,2748.0,1626111710803,0.0
process_data_read1374:temperature,2749,2748.0,1626111710803,0.0
process_data_read1374:temperature,2750,2748.0,1626111710803,0.0
process_data_read1374:temperature,2751,2748.0,1626111710803,0.0
process_data_read1374:temperature,2752,2748.0,1626111710803,0.0
process_data_read1374:temperature,2753,2748.0,1626111710803,0.0
process_data_read1374:temperature,2754,2748.0,1626111710803,0.0
process_data_read1374:temperature,2755,2748.0,1626111710803,0.0
process_data_read1374:temperature,2756,2748.0,1626111710803,0.0
process_data_read1374:temperature,2757,2750.0,1626111711590,787.0
process_data_read1374:temperature,2758,2754.0,1626111711683,93.0
process_data_read1374:temperature,2759,2759.0,1626111711793,110.0
process_data_read1374:temperature,2760,2759.0,1626111711793,0.0
process_data_read1374:temperature,2761,2761.0,1626111711853,60.0
process_data_read1374:temperature,2762,2762.0,1626111711874,21.0
process_data_read1374:temperature,2763,2763.0,1626111711903,29.0
process_data_read1374:temperature,2764,2764.0,1626111711923,20.0
process_data_read1374:temperature,2765,2765.0,1626111711944,21.0
process_data_read1374:temperature,2766,2766.0,1626111711970,26.0
process_data_read1374:temperature,2767,2767.0,1626111711991,21.0
